par,ai,ci,nominal,efeito,cenario,media,ic95_inf,ic95_sup,N_instancias
amostra_11,79,49,False,fuga_assistencia_limiar,centralizada,-0.04062500000000001,-0.12243351289504685,0.041183512895046834,4
amostra_11,79,49,False,fuga_assistencia_logistica,adaptativa,0.025,-0.030734890295837064,0.08073489029583707,4
amostra_11,79,49,False,fuga_assistencia_logistica,centralizada,-0.017708333333333333,-0.10370812199111637,0.06829145532444969,4
amostra_11,79,49,False,total_v2_menos_v1,adaptativa,0.010416666666666675,-0.059014932658186664,0.07984826599152,4
amostra_11,79,49,False,total_v2_menos_v1,centralizada,-0.02500000000000001,-0.09432599987313119,0.04432599987313117,4
amostra_12,61,55,False,assistencia_fuga_desligada,contraste_A_menos_C,0.021875000000000002,-0.10489399335624769,0.1486439933562477,4
amostra_12,61,55,False,assistencia_fuga_ligada,contraste_A_menos_C,0.016666666666666663,-0.029901600499325866,0.06323493383265918,4
amostra_12,61,55,False,fuga_assistencia_limiar,contraste_A_menos_C,0.0031250000000000028,-0.04449337261002299,0.05074337261002299,4
amostra_12,61,55,False,fuga_assistencia_logistica,contraste_A_menos_C,-0.002083333333333338,-0.12099456481999295,0.11682789815332627,4
amostra_12,61,55,False,total_v2_menos_v1,contraste_A_menos_C,0.019791666666666666,-0.02562167102679882,0.06520500436013216,4
amostra_12,61,55,False,interacao,contraste_A_menos_C,-0.005208333333333339,-0.13707615750716065,0.12665949084049397,4
amostra_12,61,55,False,assistencia_fuga_desligada,adaptativa,0.004166666666666673,-0.015351808845968238,0.023685142179301583,4
amostra_12,61,55,False,assistencia_fuga_desligada,centralizada,-0.01770833333333333,-0.12602809451692282,0.09061142785025617,4
amostra_12,61,55,False,assistencia_fuga_ligada,adaptativa,0.021875,-0.043395821965861385,0.08714582196586138,4
amostra_12,61,55,False,assistencia_fuga_ligada,centralizada,0.005208333333333334,-0.05983761002445027,0.07025427669111693,4
amostra_12,61,55,False,fuga_assistencia_limiar,adaptativa,-0.005208333333333329,-0.05609909271825467,0.04568242605158801,4
amostra_12,61,55,False,fuga_assistencia_limiar,centralizada,-0.008333333333333331,-0.04464786728026789,0.02798120061360123,4
amostra_12,61,55,False,fuga_assistencia_logistica,adaptativa,0.012499999999999995,-0.047781640211611846,0.07278164021161183,4
amostra_12,61,55,False,fuga_assistencia_logistica,centralizada,0.014583333333333335,-0.05814653831188435,0.08731320497855102,4
amostra_12,61,55,False,total_v2_menos_v1,adaptativa,0.01666666666666667,-0.03827386152430957,0.07160719485764291,4
amostra_12,61,55,False,total_v2_menos_v1,centralizada,-0.003124999999999996,-0.039990164768063004,0.03374016476806301,4
amostra_13,60,3,False,assistencia_fuga_desligada,contraste_A_menos_C,0.02187500000000001,-0.02543466029503708,0.0691846602950371,4
amostra_13,60,3,False,assistencia_fuga_ligada,contraste_A_menos_C,0.043750000000000004,-0.043623167809941375,0.13112316780994138,4
amostra_13,60,3,False,fuga_assistencia_limiar,contraste_A_menos_C,0.01145833333333333,-0.03491286029855706,0.057829526965223726,4
amostra_13,60,3,False,fuga_assistencia_logistica,contraste_A_menos_C,0.033333333333333326,-0.02838950574081566,0.09505617240748232,4
amostra_13,60,3,False,total_v2_menos_v1,contraste_A_menos_C,0.05520833333333334,-0.0014068934124170096,0.11182356007908369,4
amostra_13,60,3,False,interacao,contraste_A_menos_C,0.021875,-0.044948785957287886,0.08869878595728789,4
amostra_13,60,3,False,assistencia_fuga_desligada,adaptativa,-0.006249999999999993,-0.08232776894105062,0.06982776894105064,4
amostra_13,60,3,False,assistencia_fuga_desligada,centralizada,-0.028125000000000004,-0.07635486953763558,0.020104869537635572,4
amostra_13,60,3,False,assistencia_fuga_ligada,adaptativa,0.012499999999999999,-0.03857039552197483,0.06357039552197483,4
amostra_13,60,3,False,assistencia_fuga_ligada,centralizada,-0.03125000000000001,-0.06776572404020839,0.005265724040208385,4
amostra_13,60,3,False,fuga_assistencia_limiar,adaptativa,-0.0031249999999999976,-0.05372701515729173,0.04747701515729174,4
amostra_13,60,3,False,fuga_assistencia_limiar,centralizada,-0.014583333333333328,-0.09496898094120551,0.06580231427453886,4
amostra_13,60,3,False,fuga_assistencia_logistica,adaptativa,0.015624999999999997,-0.05606491410201679,0.08731491410201679,4
amostra_13,60,3,False,fuga_assistencia_logistica,centralizada,-0.017708333333333333,-0.029031378682483393,-0.006385287984183273,4
amostra_13,60,3,False,total_v2_menos_v1,adaptativa,0.009375000000000003,-0.08062108056058688,0.0993710805605869,4
amostra_13,60,3,False,total_v2_menos_v1,centralizada,-0.04583333333333333,-0.09803876513838272,0.006372098471716055,4
amostra_14,8,14,False,assistencia_fuga_desligada,contraste_A_menos_C,0.035416666666666666,-0.09205832529225387,0.1628916586255872,4
amostra_14,8,14,False,assistencia_fuga_ligada,contraste_A_menos_C,0.034375,-0.035030214524613204,0.10378021452461321,4
amostra_14,8,14,False,fuga_assistencia_limiar,contraste_A_menos_C,-0.022916666666666672,-0.09360315548580417,0.04776982215247083,4
amostra_14,8,14,False,fuga_assistencia_logistica,contraste_A_menos_C,-0.02395833333333334,-0.13858744131659587,0.0906707746499292,4
amostra_14,8,14,False,total_v2_menos_v1,contraste_A_menos_C,0.011458333333333327,-0.019343680143774394,0.04226034681044105,4
amostra_14,8,14,False,interacao,contraste_A_menos_C,-0.00104166666666667,-0.17371081572779865,0.17162748239446532,4
amostra_14,8,14,False,assistencia_fuga_desligada,adaptativa,-0.010416666666666661,-0.11334344250977405,0.09251010917644073,4
amostra_14,8,14,False,assistencia_fuga_desligada,centralizada,-0.04583333333333332,-0.07785974193360055,-0.013806924733066092,4
amostra_14,8,14,False,assistencia_fuga_ligada,adaptativa,0.010416666666666663,-0.015261586542839852,0.03609491987617318,4
amostra_14,8,14,False,assistencia_fuga_ligada,centralizada,-0.02395833333333333,-0.1152476434338543,0.06733097676718763,4
amostra_14,8,14,False,fuga_assistencia_limiar,adaptativa,-0.03125,-0.09017958642506096,0.02767958642506097,4
amostra_14,8,14,False,fuga_assistencia_limiar,centralizada,-0.008333333333333331,-0.07306879308848316,0.056402126421816495,4
amostra_14,8,14,False,fuga_assistencia_logistica,adaptativa,-0.010416666666666673,-0.06414363475835365,0.0433103014250203,4
amostra_14,8,14,False,fuga_assistencia_logistica,centralizada,0.013541666666666667,-0.08850942488598063,0.11559275821931395,4
amostra_14,8,14,False,total_v2_menos_v1,adaptativa,-0.020833333333333336,-0.09984005105640525,0.058173384389738576,4
