par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_02,17,9,False,10,adaptativa,fracao_fuga_p1,0.0,0.0,0.0,4
amostra_02,17,9,False,10,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,10,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,10,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,10,adaptativa,numerador_falha,17.0625,15.332311570080428,18.792688429919572,4
amostra_02,17,9,False,10,adaptativa,bateria_media,0.6806124499115574,0.4859504083429269,0.875274491480188,4
amostra_02,17,9,False,10,adaptativa,confianca_media_final,0.6391303011145253,0.5102085233767981,0.7680520788522525,4
amostra_02,17,9,False,10,centralizada,taxa_falha_efetiva,0.2875,0.24735277215379803,0.3276472278462019,4
amostra_02,17,9,False,10,centralizada,N_req,99.0,24.65323061576811,173.3467693842319,4
amostra_02,17,9,False,10,centralizada,N_success,62.125,3.6574725757548805,120.59252742424512,4
amostra_02,17,9,False,10,centralizada,N_fail,36.875,14.051669317684812,59.69833068231519,4
amostra_02,17,9,False,10,centralizada,N_blocked,16.75,7.235869320124438,26.264130679875564,4
amostra_02,17,9,False,10,centralizada,p2_bloqueio,62.6875,27.226399437863755,98.14860056213624,4
amostra_02,17,9,False,10,centralizada,fracao_porta1,0.46145833333333336,0.3236144979395288,0.5993021687271379,4
amostra_02,17,9,False,10,centralizada,fracao_fuga,0.0,0.0,0.0,4
amostra_02,17,9,False,10,centralizada,fracao_fuga_p1,0.0,0.0,0.0,4
amostra_02,17,9,False,10,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,10,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,10,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,10,centralizada,numerador_falha,17.25,14.841166329227882,19.65883367077212,4
amostra_02,17,9,False,10,centralizada,bateria_media,0.7527966538128134,0.6261555817513927,0.879437725874234,4
amostra_02,17,9,False,10,centralizada,confianca_media_final,0.6226559518982007,0.4671137117980251,0.7781981919983763,4
amostra_02,17,9,False,01,adaptativa,taxa_falha_efetiva,0.2833333333333333,0.2482501604808457,0.31841650618582096,4
amostra_02,17,9,False,01,adaptativa,N_req,0.0,0.0,0.0,4
amostra_02,17,9,False,01,adaptativa,N_success,0.0,0.0,0.0,4
amostra_02,17,9,False,01,adaptativa,N_fail,0.0,0.0,0.0,4
amostra_02,17,9,False,01,adaptativa,N_blocked,120.9375,63.291451479095585,178.5835485209044,4
amostra_02,17,9,False,01,adaptativa,p2_bloqueio,128.375,66.94909732551366,189.80090267448634,4
amostra_02,17,9,False,01,adaptativa,fracao_porta1,0.5364583333333333,0.44108705929705055,0.631829607369616,4
amostra_02,17,9,False,01,adaptativa,fracao_fuga,0.19524602024064255,0.1528588937983672,0.2376331466829179,4
amostra_02,17,9,False,01,adaptativa,fracao_fuga_p1,0.3106270367501743,0.2761489855051167,0.3451050879952319,4
amostra_02,17,9,False,01,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,01,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,01,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,01,adaptativa,numerador_falha,17.0,14.895009628850742,19.104990371149256,4
amostra_02,17,9,False,01,adaptativa,bateria_media,0.6021425229746832,0.41942412838596954,0.7848609175633968,4
amostra_02,17,9,False,01,adaptativa,confianca_media_final,0.25,0.25,0.25,4
amostra_02,17,9,False,01,centralizada,taxa_falha_efetiva,0.2989583333333333,0.2620931685652703,0.33582349810139633,4
amostra_02,17,9,False,01,centralizada,N_req,0.0,0.0,0.0,4
amostra_02,17,9,False,01,centralizada,N_success,0.0,0.0,0.0,4
amostra_02,17,9,False,01,centralizada,N_fail,0.0,0.0,0.0,4
amostra_02,17,9,False,01,centralizada,N_blocked,131.0,71.54433496706099,190.455665032939,4
amostra_02,17,9,False,01,centralizada,p2_bloqueio,139.5625,75.44754739047082,203.67745260952918,4
amostra_02,17,9,False,01,centralizada,fracao_porta1,0.5208333333333334,0.44562726715865847,0.5960393995080082,4
amostra_02,17,9,False,01,centralizada,fracao_fuga,0.20674904648825088,0.1584597062955501,0.2550383866809517,4
amostra_02,17,9,False,01,centralizada,fracao_fuga_p1,0.33368957719178904,0.2764724127111651,0.39090674167241296,4
amostra_02,17,9,False,01,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,01,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,01,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,01,centralizada,numerador_falha,17.9375,15.725590113916219,20.14940988608378,4
