arquivo,semente,cenario,lei,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,N_req,N_success,N_fail,N_blocked,violacoes
j6013_1.sm,7,centralizada,unitario,True,269,69,0.706484461965888,0.0,41.99652369988331,232.0,550.0,0.0,129.0,99.50261344679976,39,21,2,0,0.35,340.0,0.292654745431764,0.12351918735259798,0.12781281877302192,0,0,0,112,0
j6013_1.sm,7,centralizada,crowder_eq3,True,269,69,0.706484461965888,0.0,41.99652369988331,232.0,550.0,0.0,129.0,99.50261344679976,39,21,2,0,0.35,340.0,0.292654745431764,0.12351918735259798,0.12781281877302192,0,0,0,112,0
j6013_1.sm,7,adaptativa,unitario,True,216,69,0.6581422023874218,0.0,7.504082612872238,316.0,416.0,90.0,29.0,97.08224376275076,56,4,15,0,0.06666666666666667,340.0,0.285536011066914,0.022070831214330112,0.15359115798733014,104,90,14,0,0
j6013_1.sm,7,adaptativa,crowder_eq3,True,216,69,0.7564756659141801,0.0,7.504082612872238,316.0,416.0,7.836304505785301,29.0,97.08224376275076,56,4,15,0,0.06666666666666667,340.0,0.285536011066914,0.022070831214330112,0.17653931490112895,104,90,14,0,0
j6013_1.sm,8,centralizada,unitario,True,307,69,0.6661255513661027,3.552713678800501e-15,34.81097854447575,202.0,561.0,0.0,166.0,115.18357762960858,36,24,1,0,0.4,340.0,0.33877522832237816,0.10238523101316398,0.13676777924571,0,0,0,146,0
j6013_1.sm,8,centralizada,crowder_eq3,True,307,69,0.6661255513661027,3.552713678800501e-15,34.81097854447575,202.0,561.0,0.0,166.0,115.18357762960858,36,24,1,0,0.4,340.0,0.33877522832237816,0.10238523101316398,0.13676777924571,0,0,0,146,0
j6013_1.sm,8,adaptativa,unitario,True,245,69,0.5882619691044276,0.0,3.0,328.0,437.0,132.0,41.0,132.86631288657077,58,2,24,0,0.03333333333333333,340.0,0.39078327319579637,0.008823529411764706,0.1788562902661307,156,132,24,0,0
j6013_1.sm,8,adaptativa,crowder_eq3,True,245,69,0.701763359394556,0.0,3.0,328.0,437.0,11.850724345210995,41.0,132.86631288657077,58,2,24,0,0.03333333333333333,340.0,0.39078327319579637,0.008823529411764706,0.21336546929438924,156,132,24,0,0
j6013_1.sm,9,centralizada,unitario,True,341,69,0.7259520617522417,0.0,26.47477859539589,209.0,558.0,0.0,81.0,129.64579549942565,40,20,4,0,0.3333333333333333,340.0,0.38131116323360487,0.07786699586881143,0.16866780025146513,0,0,0,81,0
j6013_1.sm,9,centralizada,crowder_eq3,True,341,69,0.7259520617522417,0.0,26.47477859539589,209.0,558.0,0.0,81.0,129.64579549942565,40,20,4,0,0.3333333333333333,340.0,0.38131116323360487,0.07786699586881143,0.16866780025146513,0,0,0,81,0
j6013_1.sm,9,adaptativa,unitario,True,237,69,0.68940309431608,0.0,8.696781940441882,296.0,439.0,65.0,25.0,107.78275252812503,53,7,17,0,0.11666666666666667,340.0,0.31700809567095595,0.02557877041306436,0.16926141937766218,83,65,18,0,0
j6013_1.sm,9,adaptativa,crowder_eq3,True,237,69,0.759469720423014,0.0,8.696781940441882,296.0,439.0,6.252142339682417,25.0,107.78275252812503,53,7,17,0,0.11666666666666667,340.0,0.31700809567095595,0.02557877041306436,0.1864640932322506,83,65,18,0,0
j6013_1.sm,10,centralizada,unitario,True,389,69,0.6650818739360284,3.552713678800501e-15,28.00810819757634,194.0,563.0,0.0,146.0,137.51231985635619,34,26,1,0,0.43333333333333335,340.0,0.4044479995775182,0.08237678881640101,0.1624457395725682,0,0,0,121,0
