etapa,arquivo,cenario,P_max,semente,P_realizada_media,mu_cog_medio,defeitos_gerados,S_UR_maximo,fracao_heuristica
confirmatorio,j6010_1.sm,centralizada,0.4,1061,0.3396123737778905,0.9513931510555046,15,16.0,0.322
confirmatorio,j6010_1.sm,centralizada,0.4,1062,0.3406469984550278,0.9316106470786856,15,19.0,0.4383301707779886
confirmatorio,j6010_1.sm,centralizada,0.4,1063,0.3417077030337702,0.959419988133836,21,29.218945087449736,0.4154786150712831
confirmatorio,j6010_1.sm,centralizada,0.4,1064,0.3425725985035291,0.9294663247306012,12,19.49530407601005,0.4285714285714285
confirmatorio,j6010_1.sm,centralizada,0.4,1065,0.3363622103262522,0.9338889044288328,13,18.320267435504142,0.476894639556377
confirmatorio,j6010_1.sm,centralizada,0.4,1066,0.3297097804998681,0.9450407625143292,12,10.0,0.32
confirmatorio,j6010_1.sm,centralizada,0.4,1067,0.3512701226553387,0.9604408702925178,12,18.0,0.4251012145748988
confirmatorio,j6010_1.sm,centralizada,0.4,1068,0.3115651013039412,0.9561934398875436,8,6.5,0.375796178343949
confirmatorio,j6010_1.sm,centralizada,0.4,1069,0.324046180652733,0.9574589612091702,12,12.0,0.2834008097165992
confirmatorio,j6010_1.sm,centralizada,0.4,1070,0.3168798861957616,0.9522329519234556,12,16.5,0.4061855670103093
confirmatorio,j6010_1.sm,centralizada,0.4,1071,0.2778039076662444,0.9179062803158348,11,14.935867306585395,0.275992438563327
confirmatorio,j6010_1.sm,centralizada,0.4,1072,0.3516947198809574,0.9603534314105184,15,22.5,0.5112016293279023
confirmatorio,j6010_1.sm,centralizada,0.4,1073,0.3383130722579654,0.9583683326462884,10,9.0,0.4163179916317991
confirmatorio,j6010_1.sm,centralizada,0.4,1074,0.2898921404481108,0.908053293370342,12,11.640533936203106,0.4283018867924528
confirmatorio,j6010_1.sm,centralizada,0.4,1075,0.3598044804765139,0.9466468083285784,16,19.0,0.5246212121212122
confirmatorio,j6010_1.sm,centralizada,0.4,1076,0.3164741122946413,0.9001404673611636,13,19.95768308123097,0.5
confirmatorio,j6010_1.sm,centralizada,0.4,1077,0.3563503244978733,0.9445159418126884,11,10.5,0.648
confirmatorio,j6010_1.sm,centralizada,0.4,1078,0.2961554761921241,0.9340911571471028,12,23.69011945258022,0.362
confirmatorio,j6010_1.sm,centralizada,0.4,1079,0.3397905991704844,0.9676116949286232,9,9.5,0.2531120331950207
confirmatorio,j6010_1.sm,centralizada,0.4,1080,0.3188410397599992,0.9118208489104224,18,19.512931929350675,0.5148148148148148
confirmatorio,j6010_1.sm,centralizada,0.4,1081,0.3200409707796199,0.9302606390429404,11,11.5,0.3145631067961165
confirmatorio,j6010_1.sm,centralizada,0.4,1082,0.3748961648534495,0.9582393363680212,11,12.335797182183228,0.6944444444444444
confirmatorio,j6010_1.sm,centralizada,0.4,1083,0.2920449577038933,0.9518878067020794,11,13.0,0.3146997929606625
confirmatorio,j6010_1.sm,centralizada,0.4,1084,0.315404020937329,0.9264887711451956,18,17.5,0.4271844660194174
confirmatorio,j6010_1.sm,centralizada,0.4,1085,0.3214034530782937,0.9447388296587884,12,16.0,0.4202334630350194
confirmatorio,j6010_1.sm,centralizada,0.4,1086,0.3109432851385053,0.9281750322464746,14,22.26237737018847,0.3288973384030418
confirmatorio,j6010_1.sm,centralizada,0.4,1087,0.3358316164692874,0.9467085934325472,9,12.965127663050833,0.4491362763915547
confirmatorio,j6010_1.sm,centralizada,0.4,1088,0.3116761928255602,0.9340964765839724,12,15.5,0.4950298210735586
confirmatorio,j6010_1.sm,centralizada,0.4,1089,0.3422937922587992,0.9098200667418344,9,16.0,0.5196261682242991
confirmatorio,j6010_1.sm,centralizada,0.4,1090,0.339890501734055,0.913973887893184,17,21.641954329020333,0.5508317929759704
confirmatorio,j6010_1.sm,centralizada,0.4,1091,0.3247594256206891,0.9348613067274312,15,15.5,0.466796875
confirmatorio,j6010_1.sm,centralizada,0.4,1092,0.3298678990948517,0.9319983705554952,14,17.512937419512063,0.5185909980430529
confirmatorio,j6010_1.sm,centralizada,0.4,1093,0.3033232744798119,0.9045236862791078,12,9.5,0.2953271028037383
confirmatorio,j6010_1.sm,centralizada,0.4,1094,0.3577659305360093,0.9226307252207724,13,17.5,0.6058931860036832
confirmatorio,j6010_1.sm,centralizada,0.4,1095,0.334805451473168,0.9364015873782758,13,11.5,0.4291115311909262
confirmatorio,j6010_1.sm,centralizada,0.4,1096,0.2859673777985274,0.9330319329929082,7,9.5,0.2427745664739884
confirmatorio,j6010_1.sm,centralizada,0.4,1097,0.3107649750645812,0.9527805232196314,20,17.5,0.1935483870967742
