arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6035_3.sm,35,87,100,1.1494252873563218,3.38,5.0,7
j6035_4.sm,35,72,74,1.0277777777777777,4.256756756756757,6.0,7
j6035_5.sm,35,75,77,1.0266666666666666,4.402597402597403,6.0,7
j6035_6.sm,35,79,81,1.0253164556962024,3.9012345679012346,6.0,7
j6035_7.sm,35,73,80,1.095890410958904,4.0375,6.0,6
j6035_8.sm,35,75,78,1.04,4.576923076923077,8.0,9
j6035_9.sm,35,73,76,1.0410958904109588,4.184210526315789,6.0,8
j6036_1.sm,36,61,61,1.0,4.852459016393443,7.0,8
j6036_10.sm,36,77,77,1.0,4.298701298701299,7.0,9
j6036_2.sm,36,75,75,1.0,4.026666666666666,6.0,7
j6036_3.sm,36,81,81,1.0,3.9753086419753085,6.0,7
j6036_4.sm,36,85,85,1.0,3.847058823529412,7.0,8
j6036_5.sm,36,57,57,1.0,4.964912280701754,8.0,8
j6036_6.sm,36,76,76,1.0,4.578947368421052,8.0,10
j6036_7.sm,36,71,71,1.0,4.676056338028169,6.0,9
j6036_8.sm,36,69,69,1.0,4.855072463768116,8.200000000000003,10
j6036_9.sm,36,86,86,1.0,4.0,6.5,9
j6037_1.sm,37,70,117,1.6714285714285715,2.5641025641025643,4.0,5
j6037_10.sm,37,86,117,1.3604651162790697,2.905982905982906,4.0,5
j6037_2.sm,37,68,129,1.8970588235294117,2.3255813953488373,4.0,5
j6037_3.sm,37,97,174,1.7938144329896908,2.2471264367816093,3.0,4
j6037_4.sm,37,75,119,1.5866666666666667,2.7983193277310923,4.0,5
j6037_5.sm,37,80,132,1.65,2.2954545454545454,4.0,5
j6037_6.sm,37,62,145,2.338709677419355,2.386206896551724,3.0,6
j6037_7.sm,37,75,140,1.8666666666666667,2.4785714285714286,4.0,5
j6037_8.sm,37,79,116,1.4683544303797469,2.7586206896551726,4.0,4
j6037_9.sm,37,77,126,1.6363636363636365,2.6666666666666665,4.0,5
j6038_1.sm,38,73,81,1.1095890410958904,4.209876543209877,6.0,6
j6038_10.sm,38,63,79,1.253968253968254,4.2025316455696204,6.0,7
j6038_2.sm,38,71,106,1.4929577464788732,3.4150943396226414,5.0,6
j6038_3.sm,38,76,90,1.1842105263157894,3.7555555555555555,5.0,6
j6038_4.sm,38,58,73,1.2586206896551724,4.2465753424657535,6.799999999999997,9
j6038_5.sm,38,103,107,1.0388349514563107,2.97196261682243,5.0,6
j6038_6.sm,38,86,94,1.0930232558139534,3.648936170212766,5.0,7
j6038_7.sm,38,74,82,1.1081081081081081,4.182926829268292,6.0,6
j6038_8.sm,38,68,81,1.1911764705882353,4.3580246913580245,6.0,7
j6038_9.sm,38,66,81,1.2272727272727273,3.6419753086419755,6.0,7
j6039_1.sm,39,80,85,1.0625,3.8117647058823527,6.0,8
j6039_10.sm,39,74,74,1.0,4.256756756756757,6.0,7
j6039_2.sm,39,84,84,1.0,4.261904761904762,6.0,7
j6039_3.sm,39,83,83,1.0,4.373493975903615,6.799999999999997,8
j6039_4.sm,39,92,106,1.1521739130434783,3.1320754716981134,5.0,6
j6039_5.sm,39,73,78,1.0684931506849316,4.128205128205129,6.0,7
j6039_6.sm,39,83,91,1.0963855421686748,3.32967032967033,5.0,5
j6039_7.sm,39,68,81,1.1911764705882353,4.074074074074074,7.0,9
j6039_8.sm,39,77,77,1.0,4.064935064935065,6.0,7
j6039_9.sm,39,72,73,1.0138888888888888,4.63013698630137,6.0,8
j603_1.sm,3,60,60,1.0,5.533333333333333,8.0,10
