modelo,metrica,braco,ANTES_pct,DEPOIS_pct,DEPOIS_parcela
mvp,S_UR_maximo,so_p_reporte,82.11074634457512,77.77229455101758,-20.593755046712015
mvp,S_UR_maximo,so_p_deteccao,57.23496393699513,64.04867046882693,-16.959800894614872
mvp,S_UR_maximo,so_portao,,14.39937946147497,-3.8128911480134744
mvp,S_UR_maximo,so_rede,,7.831942421714225,-2.073863253024273
mvp,S_UR_maximo,centralizada,-0.0,0.0,0.0
mvp,S_UR_maximo,adaptativa,100.0,100.00000000000016,-26.479551832179535
mvp,S_UR_maximo,so_par_tau,22.345016801130097,19.771316815733943,-5.235356084126691
mvp,S_UR_maximo,sem_par_tau,93.62511390353458,95.64524306180158,-25.326431711563824
mvp,TL,so_tau_inicial,99.00695134061569,100.784849865816,103.66666666666667
mvp,TL,so_tau_min,0.0,0.0,0.0
mvp,TL,so_p_reporte,0.0,-2.9527345487035514e-15,-3.0371643022055433e-15
mvp,TL,so_p_deteccao,0.0,2.0191659304200673e-14,2.076901456243016e-14
mvp,TL,so_portao,,90.79447060610664,93.390625
mvp,TL,so_rede,,0.0,0.0
mvp,TL,centralizada,0.0,0.0,0.0
mvp,TL,adaptativa,100.0,99.99999999999993,102.85937499999991
mvp,TL,so_par_tau,99.00695134061569,100.68864246290948,103.5677083333333
mvp,TL,sem_par_tau,0.0,0.0,0.0
mvp,TR,so_tau_inicial,91.2524520713784,123.61080321030441,-22.79131026699318
mvp,TR,so_tau_min,-0.0,0.0,0.0
mvp,TR,so_p_reporte,10.13410434760932,7.93042467988509,-1.462208518463975
mvp,TR,so_p_deteccao,4.075629172652134,3.7570589067900055,-0.6927250127995537
mvp,TR,so_portao,,81.09562111062694,-14.952378061020037
mvp,TR,so_rede,,67.68589795471735,-12.479898689448888
mvp,TR,centralizada,-0.0,0.0,0.0
mvp,TR,adaptativa,100.0,100.00000000000095,-18.437959850659308
mvp,TR,so_par_tau,91.2524520713784,121.8549638448762,-22.467569309753454
mvp,TR,sem_par_tau,5.6692849108020065,10.042052742904024,-1.851549652918657
mvp,TU,so_tau_inicial,99.80521166998528,99.8516151124301,-91.12500000000001
mvp,TU,so_tau_min,-0.0,0.0,0.0
