arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j604_1.sm,7,adaptativa,True,16.0,0.9667786172019804,0.945
j604_1.sm,7,centralizada,False,,0.25,0.25
j604_1.sm,8,adaptativa,True,1.0,0.9556750903047608,0.9315747344094966
j604_1.sm,8,centralizada,False,,0.25,0.25
j604_1.sm,9,adaptativa,True,9.0,0.9584617951108056,0.957736334745524
j604_1.sm,9,centralizada,False,,0.25,0.25
j604_1.sm,10,adaptativa,True,1.0,0.9599437032391592,0.9499999999999998
j604_1.sm,10,centralizada,False,,0.25,0.25
j604_1.sm,11,adaptativa,True,1.0,0.9823995379271026,0.9783333333333334
j604_1.sm,11,centralizada,False,,0.25,0.25
j607_1.sm,0,adaptativa,True,20.0,0.9357630132932645,0.9216666666666664
j607_1.sm,0,centralizada,False,,0.25,0.25
j607_1.sm,1,adaptativa,True,9.0,0.9533903035586256,0.9583333333333334
j607_1.sm,1,centralizada,False,,0.25,0.25
j607_1.sm,2,adaptativa,False,,0.8845549422751351,0.8580224282551695
j607_1.sm,2,centralizada,False,,0.25,0.25
j607_1.sm,3,adaptativa,True,16.0,0.9438404030834618,0.9433333333333334
j607_1.sm,3,centralizada,False,,0.25,0.25
j607_1.sm,4,adaptativa,False,,0.8857306352444474,0.8599999999999999
j607_1.sm,4,centralizada,False,,0.25,0.25
j607_1.sm,5,adaptativa,False,,0.864398857308751,0.8449999999999999
j607_1.sm,5,centralizada,False,,0.25,0.25
j607_1.sm,6,adaptativa,False,,0.8644662290297829,0.8315221161999959
j607_1.sm,6,centralizada,False,,0.25,0.25
j607_1.sm,7,adaptativa,False,,0.9072363804111552,0.8866666666666666
j607_1.sm,7,centralizada,False,,0.25,0.25
j607_1.sm,8,adaptativa,True,1.0,0.9801787953377706,0.9733333333333332
j607_1.sm,8,centralizada,False,,0.25,0.25
j607_1.sm,9,adaptativa,True,11.0,0.9154277444088985,0.905
j607_1.sm,9,centralizada,False,,0.25,0.25
j607_1.sm,10,adaptativa,True,1.0,0.9756554493680846,0.9716666666666668
j607_1.sm,10,centralizada,False,,0.25,0.25
j607_1.sm,11,adaptativa,True,10.0,0.9364754068261655,0.9366666666666666
j607_1.sm,11,centralizada,False,,0.25,0.25
