variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F2,j6043_1.sm,3,centralizada,,0.1,True,0,2.4166666666666665,0.4339622641509434,0,0.25,0.26666666666666666
F2,j6043_1.sm,3,adaptativa,,0.1,True,0,1.6018518518518519,0.24050632911392406,298,0.9666666666666667,0.25
F2,j6010_1.sm,0,centralizada,,0.2,True,0,2.3176470588235296,0.3939393939393939,0,0.25,0.2833333333333333
F2,j6010_1.sm,0,adaptativa,,0.2,True,0,1.4941176470588236,0.1044776119402985,185,0.9983333333333334,0.16666666666666666
F2,j6010_1.sm,1,centralizada,,0.2,True,0,2.388235294117647,0.34065934065934067,0,0.25,0.3333333333333333
F2,j6010_1.sm,1,adaptativa,,0.2,True,0,1.4,0.0625,145,0.965,0.2
F2,j6010_1.sm,2,centralizada,,0.2,True,0,4.070588235294117,0.45454545454545453,0,0.25,0.2
F2,j6010_1.sm,2,adaptativa,,0.2,True,0,1.6235294117647059,0.3258426966292135,187,0.9666666666666667,0.16666666666666666
F2,j6010_1.sm,3,centralizada,,0.2,True,0,2.2588235294117647,0.3181818181818182,0,0.25,0.2
F2,j6010_1.sm,3,adaptativa,,0.2,True,0,1.6470588235294117,0.3258426966292135,191,1.0,0.21666666666666667
F2,j6021_1.sm,0,centralizada,,0.2,True,0,3.6842105263157894,0.27710843373493976,0,0.25,0.3333333333333333
F2,j6021_1.sm,0,adaptativa,,0.2,True,0,2.4473684210526314,0.2857142857142857,144,1.0,0.2833333333333333
F2,j6021_1.sm,1,centralizada,,0.2,True,0,3.3289473684210527,0.3333333333333333,0,0.25,0.26666666666666666
F2,j6021_1.sm,1,adaptativa,,0.2,True,0,2.486842105263158,0.21052631578947367,78,0.9666666666666667,0.2833333333333333
F2,j6021_1.sm,2,centralizada,,0.2,True,0,4.368421052631579,0.4230769230769231,0,0.25,0.3333333333333333
F2,j6021_1.sm,2,adaptativa,,0.2,True,0,2.3421052631578947,0.3103448275862069,79,0.9666666666666667,0.18333333333333332
F2,j6021_1.sm,3,centralizada,,0.2,True,0,4.184210526315789,0.3258426966292135,0,0.25,0.26666666666666666
F2,j6021_1.sm,3,adaptativa,,0.2,True,0,2.5789473684210527,0.3181818181818182,150,0.9633333333333334,0.3333333333333333
F2,j6032_1.sm,0,centralizada,,0.2,True,0,2.681159420289855,0.5488721804511278,0,0.25,0.31666666666666665
F2,j6032_1.sm,0,adaptativa,,0.2,True,0,1.7536231884057971,0.25925925925925924,130,1.0,0.25
F2,j6032_1.sm,1,centralizada,,0.2,True,0,4.927536231884058,0.4782608695652174,0,0.25,0.35
F2,j6032_1.sm,1,adaptativa,,0.2,True,0,1.7826086956521738,0.34782608695652173,137,0.9866666666666667,0.3333333333333333
F2,j6032_1.sm,2,centralizada,,0.2,True,0,3.3768115942028984,0.3617021276595745,0,0.25,0.3
F2,j6032_1.sm,2,adaptativa,,0.2,True,0,1.9130434782608696,0.3333333333333333,146,0.9253957047744579,0.23333333333333334
F2,j6032_1.sm,3,centralizada,,0.2,True,0,5.521739130434782,0.5973154362416108,0,0.25,0.43333333333333335
F2,j6032_1.sm,3,adaptativa,,0.2,True,0,2.3043478260869565,0.34065934065934067,210,0.9616666666666666,0.26666666666666666
F2,j6043_1.sm,0,centralizada,,0.2,True,0,2.0277777777777777,0.1780821917808219,0,0.25,0.18333333333333332
F2,j6043_1.sm,0,adaptativa,,0.2,True,0,1.6944444444444444,0.22077922077922077,322,1.0,0.3
F2,j6043_1.sm,1,centralizada,,0.2,True,0,1.8981481481481481,0.3333333333333333,0,0.25,0.2
F2,j6043_1.sm,1,adaptativa,,0.2,True,0,1.4259259259259258,0.15492957746478872,210,0.9666666666666667,0.2833333333333333
F2,j6043_1.sm,2,centralizada,,0.2,True,0,3.0185185185185186,0.3684210526315789,0,0.25,0.25
