replica,I_max,excluido,incompletas,z_taxa_omissao,f_taxa_omissao,V_obs_taxa_omissao,V_sim_taxa_omissao,I_taxa_omissao,z_atraso_relativo,f_atraso_relativo,V_obs_atraso_relativo,V_sim_atraso_relativo,I_atraso_relativo,z_retrabalho_sobre_plano,f_retrabalho_sobre_plano,V_obs_retrabalho_sobre_plano,V_sim_retrabalho_sobre_plano,I_retrabalho_sobre_plano,z_E_total,f_E_total,V_obs_E_total,V_sim_E_total,I_E_total
51,2.697545263743805,False,0,0.0975,0.09791666666666667,6.026234567901234e-05,0.00015480324074074073,0.02841209754228221,1.6137169650468883,1.6225703324808185,0.0001693654008794542,0.0012791180540565699,0.23262250027330952,0.20132937332399492,0.21676411797374168,3.9868004924880726e-05,1.2032388792139882e-05,2.1424669085607153,0.8579090359576643,0.8449860136342859,1.1321085372040426e-05,1.1629338325911295e-05,2.697545263743805
52,3.294152758333226,True,0,0.10083333333333333,0.0875,6.859567901234569e-05,0.0002951388888888889,0.6991115035223164,1.656547314578005,1.5680306905370844,0.0005042338747937664,0.0007187119878036343,2.531169483362727,0.20414873339175044,0.1832349518014002,5.749121549546252e-05,4.4756139397721844e-05,2.06826664124823,0.8560412122887581,0.8685733052142068,1.0112902465051788e-05,4.360136912741502e-06,3.294152758333226
53,1.2712688933406049,False,0,0.08916666666666666,0.11249999999999999,8.804012345679012e-05,0.0002488425925925926,1.2712688933406049,1.6194373401534528,1.6102301790281328,0.00019622911744234884,0.0008918519778273426,0.2791226701295782,0.19986846334161698,0.2012141399395816,4.156503466018019e-05,0.00047868896361528593,0.05899741545470909,0.8555333075445848,0.856414120475002,6.394396139095866e-06,0.00010727718384247503,0.08261477667916535
54,0.9200267041104787,False,0,0.08833333333333335,0.1,2.1913580246913582e-05,0.0001388888888888889,0.9200267041104787,1.60386189258312,1.5926896845694798,7.549889727029706e-05,0.0006492284788435084,0.4150034238722031,0.2047950280089375,0.22093205688931453,4.6581436872171394e-05,0.0002628848511503613,0.9173116378832732,0.851984701225784,0.8476434799509648,8.287233526934195e-06,5.653710429196721e-05,0.5391913024528435
55,1.3155392059528783,False,0,0.09416666666666668,0.075,6.180555555555555e-05,0.000150462962962963,1.3155392059528783,1.6259846547314578,1.6259590792838874,0.00018565279652268886,8.700848662976164e-05,0.0015488576513649566,0.20140012620957953,0.21500118374659624,7.330054958762277e-05,5.182362949717281e-05,1.2159117554350234,0.8540267497680357,0.8517502712009362,1.8073598600453115e-05,4.743431955484543e-05,0.28126563083652406
56,1.5670391954817962,False,0,0.0975,0.08333333333333333,2.3225308641975298e-05,0.0002777777777777778,0.8165489053586128,1.6201108269394713,1.6148763853367434,0.00021970133148827632,0.0003082929182150142,0.22780107157144094,0.21981315888690894,0.20837877731286195,4.005349729023948e-05,0.00018401146958466714,0.7638809885602338,0.846078527075977,0.8555648227329395,1.0556637160622395e-05,2.6089954869512368e-05,1.5670391954817962
57,1.5133254386232162,False,0,0.10583333333333333,0.10833333333333334,2.939814814814815e-05,0.00013888888888888883,0.19271462606056058,1.6351918158567778,1.6333333333333333,0.00037087795470066654,0.00010229936767570632,0.0854371042660312,0.20305249779875018,0.22775336933876597,6.668581570520949e-05,0.00019972993011709947,1.5133254386232162,0.8533233435685468,0.8482616422856092,1.4586055164343045e-05,4.150948122381296e-05,0.67582205264032
58,3.0812195544966663,True,0,0.095,0.08958333333333333,5.123456790123457e-05,0.0006061921296296295,0.21125570324744594,1.610605285592498,1.6543904518329071,6.015429898231996e-05,0.00014177936022377092,3.0812195544966663,0.20273664925146803,0.1893482064945668,8.346491577622923e-05,4.9357315170542105e-05,1.161701849510118,0.8539599740817311,0.8648834286756146,2.3100233923416325e-05,1.1823444271878299e-05,1.8484172757551682
59,0.7049022717797147,False,0,0.10666666666666666,0.11041666666666666,5.679012345679011e-05,0.0002473958333333332,0.21501149929355176,1.6082949701619778,1.6115942028985508,0.00019968505319355518,0.0007507993992907079,0.10701396222719332,0.20036125387233567,0.212130763531329,1.5569804698201553e-05,0.0002632084654119368,0.7049022717797147,0.8547395607772155,0.8518303089408334,6.871522292012979e-06,9.919667602152106e-05,0.2824806612343746
60,1.7754717409366783,False,0,0.09916666666666667,0.11666666666666667,0.0001071759259259259,0.0003124999999999999,0.8542421961772493,1.6176300085251492,1.6017476555839727,0.00016193258033905304,0.0003592366805748439,0.6957055155325388,0.20780718224363182,0.21348276309449918,5.27649637403004e-05,7.145542898606351e-05,0.5092298647794848,0.8544800610078989,0.8449030311366998,1.4791562340962213e-05,1.4304495769018441e-05,1.7754717409366783
61,1.5227045919588469,False,0,0.09666666666666666,0.09166666666666667,0.0001376543209876543,8.101851851851848e-05,0.3381213405444044,1.622830349531117,1.6273231031543052,0.0002698630525266931,2.797443278928865e-05,0.2603292246453244,0.21271605531015575,0.1829981446813268,0.0001728392557555247,0.00020805570744727273,1.5227045919588469,0.852106876167765,0.8672555738402279,3.6984956330044835e-05,7.385476559594648e-05,1.4388899675312825
62,3.1058474221389196,True,0,0.10999999999999999,0.07083333333333335,9.537037037037036e-05,6.365740740740744e-05,3.1058474221389196,1.604765558397272,1.6358269394714406,0.0002900554138735038,0.0013126408593757374,0.7758810559983667,0.21864103556883757,0.20525335459343855,6.730233454025112e-05,9.874223050735781e-05,1.0389461121747907,0.846466491479467,0.8509153017025132,2.036114224164641e-05,8.982586674745346e-06,0.8212705110186448
