tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,0.7,taxa_omissao,0.25625,0.19162781322707742,0.3208721867729225,4
0.25,0.15,0.03,0.7,divida_latente_sobre_plano,0.07949136636897304,0.0638197375546256,0.09516299518332048,4
0.25,0.15,0.03,0.7,taxa_falha_efetiva,0.28854166666666664,0.20102188190720421,0.37606145142612907,4
0.25,0.15,0.03,0.7,fracao_porta1,0.40104166666666663,0.29408318811109785,0.5080001452222354,4
0.25,0.15,0.03,0.7,N_req,126.375,50.756664265785474,201.99333573421453,4
0.25,0.15,0.03,0.7,mu_rede_medio,0.9221234985027159,0.8940022405022809,0.9502447565031509,4
0.25,0.15,0.03,0.8,atraso_relativo,2.8861704693318977,1.440295249703221,4.332045688960575,4
0.25,0.15,0.03,0.8,taxa_omissao,0.24479166666666669,0.17088764942332987,0.31869568391000347,4
0.25,0.15,0.03,0.8,divida_latente_sobre_plano,0.07404313975320193,0.052679636784193656,0.0954066427222102,4
0.25,0.15,0.03,0.8,taxa_falha_efetiva,0.284375,0.21865672928560093,0.35009327071439905,4
0.25,0.15,0.03,0.8,fracao_porta1,0.3802083333333333,0.2667355025680513,0.49368116409861534,4
0.25,0.15,0.03,0.8,N_req,123.0625,31.61366327803836,214.51133672196164,4
0.25,0.15,0.03,0.8,mu_rede_medio,0.9328631673454276,0.8932403282061835,0.9724860064846718,4
0.25,0.15,0.03,0.9,atraso_relativo,2.6553256320326244,1.5926607568717532,3.7179905071934956,4
0.25,0.15,0.03,0.9,taxa_omissao,0.2375,0.16838568306337773,0.3066143169366222,4
0.25,0.15,0.03,0.9,divida_latente_sobre_plano,0.07155871542200723,0.0496577999702228,0.09345963087379167,4
0.25,0.15,0.03,0.9,taxa_falha_efetiva,0.27291666666666664,0.1874081263189344,0.3584252070143989,4
0.25,0.15,0.03,0.9,fracao_porta1,0.3822916666666667,0.25153973159726273,0.5130436017360707,4
0.25,0.15,0.03,0.9,N_req,134.75,44.938056386121644,224.56194361387836,4
0.25,0.15,0.03,0.9,mu_rede_medio,0.9410553210767814,0.9089704651113263,0.9731401770422364,4
0.25,0.15,0.03,1.0,atraso_relativo,2.618713730724937,1.4525146196850403,3.784912841764834,4
0.25,0.15,0.03,1.0,taxa_omissao,0.221875,0.15225898707190677,0.2914910129280932,4
0.25,0.15,0.03,1.0,divida_latente_sobre_plano,0.0663228830986778,0.05321296319074294,0.07943280300661267,4
0.25,0.15,0.03,1.0,taxa_falha_efetiva,0.259375,0.18332131011285185,0.3354286898871482,4
0.25,0.15,0.03,1.0,fracao_porta1,0.3458333333333333,0.2519134670038287,0.43975319966283793,4
0.25,0.15,0.03,1.0,N_req,140.5,56.3147955474314,224.6852044525686,4
0.25,0.15,0.03,1.0,mu_rede_medio,0.9476219701785873,0.9083026450323407,0.9869412953248339,4
0.25,0.75,0.12,0.0,atraso_relativo,2.692953540429648,1.6558900400128052,3.7300170408464908,4
0.25,0.75,0.12,0.0,taxa_omissao,0.09375,0.06923955768858132,0.11826044231141868,4
